Description,Color,Price,Image Source
3 Piece Khaddar Suit-Embroidered(Unstitched),YELLOW,"Regular priceRs. 4,999",https://www.limelight.pk/cdn/shop/files/DSC00959_330x.jpg?v=1701168012
Khaddar Kurti-Embroidered (Pret),BROWN,"Regular priceRs. 3,499",https://www.limelight.pk/cdn/shop/files/DSC04281_1_330x.jpg?v=1700204660
Woven Poncho,BEIGE,"Regular priceRs. 4,499",https://www.limelight.pk/cdn/shop/files/DSC02710_7096b8a2-f3db-4707-a624-316859a7667f_330x.jpg?v=1701428093
Woolen Co-Ord Set,BLACK,"Regular priceRs. 7,499",https://www.limelight.pk/cdn/shop/files/DSC03254_330x.jpg?v=1701669288
Suede Coat,GREEN,"Regular priceRs. 6,899",https://www.limelight.pk/cdn/shop/files/DSC09803_330x.jpg?v=1701064825
2 Piece Khaddar Suit-Embroidered(Pret),MAROON,"Regular priceRs. 4,999",https://www.limelight.pk/cdn/shop/files/DSC05713_1_2fea8ba8-47bb-406f-a7a4-12a7dfcc4af0_330x.jpg?v=1699868062
Velvet Frock-Embroidered,RED,"Regular priceRs. 5,499",https://www.limelight.pk/cdn/shop/files/DSC08011_c8cf35d6-e65f-42e0-b21a-6c76101cdebe_330x.jpg?v=1701170922
3 Piece Silk Suit-Embroidered(Pret),BEIGE,"Regular priceRs. 20,999",https://www.limelight.pk/cdn/shop/files/DSC05893_330x.jpg?v=1700039173
2 Piece khaddar Suit-Printed(Unstitched),WHITE,"Regular priceRs. 2,499",https://www.limelight.pk/cdn/shop/files/DSC05031_330x.jpg?v=1699941962
Classic Handbag,PINK,"Regular priceRs. 3,199",https://www.limelight.pk/cdn/shop/files/DSC_0390_a4ff2c8d-3aea-4bf8-a22f-8faed5c2868f_330x.jpg?v=1698731246
Viscose Kurti-Embroidered(Pret),BLUE,"Regular priceRs. 4,499",https://www.limelight.pk/cdn/shop/files/DSC04857-copy_330x.jpg?v=1699874546
Knotted Handbag,YELLOW,"Regular priceRs. 2,899",https://www.limelight.pk/cdn/shop/files/DSC00183_330x.jpg?v=1698665539
